model,class,precision,recall,f1
Full Multinomial,Home Win,0.6483516483516484,0.7468354430379747,0.6941176470588236
Full Multinomial,Draw,0.23076923076923078,0.07692307692307693,0.11538461538461538
Full Multinomial,Away Win,0.578125,0.74,0.6491228070175439
Stepwise Multinomial,Home Win,0.6326530612244898,0.7848101265822784,0.7005649717514125
Stepwise Multinomial,Draw,0,0,0
Stepwise Multinomial,Away Win,0.59375,0.76,0.6666666666666666
LDA,Home Win,0.6521739130434783,0.759493670886076,0.7017543859649124
LDA,Draw,0.25,0.07692307692307693,0.11764705882352941
LDA,Away Win,0.5625,0.72,0.631578947368421
QDA,Home Win,0.6375,0.6455696202531646,0.6415094339622641
QDA,Draw,0.34782608695652173,0.20512820512820512,0.2580645161290323
QDA,Away Win,0.5230769230769231,0.68,0.591304347826087
KNN (k=29),Home Win,0.6407766990291263,0.8354430379746836,0.7252747252747253
KNN (k=29),Draw,0.6,0.07692307692307693,0.13636363636363635
KNN (k=29),Away Win,0.6,0.72,0.6545454545454547
Decision Tree,Home Win,0.6074766355140186,0.8227848101265823,0.6989247311827956
Decision Tree,Draw,0,0,0
Decision Tree,Away Win,0.5737704918032787,0.7,0.6306306306306306
Random Forest,Home Win,0.6565656565656566,0.8227848101265823,0.7303370786516854
Random Forest,Draw,0.3333333333333333,0.05128205128205128,0.08888888888888889
Random Forest,Away Win,0.5714285714285714,0.72,0.6371681415929202
XGBoost,Home Win,0.65,0.8227848101265823,0.7262569832402235
XGBoost,Draw,0.25,0.02564102564102564,0.04651162790697674
XGBoost,Away Win,0.59375,0.76,0.6666666666666666
Ridge Multinomial,Home Win,0.6565656565656566,0.8227848101265823,0.7303370786516854
Ridge Multinomial,Draw,0.3333333333333333,0.02564102564102564,0.047619047619047616
Ridge Multinomial,Away Win,0.5454545454545454,0.72,0.6206896551724138
Elastic Net Multinomial,Home Win,0.6633663366336634,0.8481012658227848,0.7444444444444445
Elastic Net Multinomial,Draw,0.3333333333333333,0.02564102564102564,0.047619047619047616
Elastic Net Multinomial,Away Win,0.5625,0.72,0.631578947368421
Majority Baseline,Home Win,0.47023809523809523,1,0.6396761133603238
Majority Baseline,Draw,0,0,0
Majority Baseline,Away Win,0,0,0
