model,accuracy,macro_f1,balanced_accuracy,log_loss
KNN (k=29),0.625,0.5053946053946055,0.5441220382992535,0.9583605559967198
XGBoost,0.6190476190476191,0.47981175927128894,0.5361419452558693,0.9521100758336116
Elastic Net Multinomial,0.6190476190476191,0.4745474798106377,0.5312474304879368,0.914814869405494
Random Forest,0.6130952380952381,0.4854647030444982,0.5313556204695445,0.954024834376492
Ridge Multinomial,0.6071428571428571,0.46621526048104894,0.522808611922536,0.9388106413024786
Stepwise Multinomial,0.5952380952380952,0.45574387947269307,0.5149367088607595,0.9317303033658034
Decision Tree,0.5952380952380952,0.4431851206044754,0.5075949367088608,0.9561372111217266
Full Multinomial,0.5892857142857143,0.4862083564869943,0.5212528399870172,1.187335474389409
LDA,0.5892857142857143,0.48366013071895425,0.518805582603051,1.0230985090202251
QDA,0.5535714285714286,0.4969594326391278,0.5102326084604566,1.1542178467666506
Majority Baseline,0.47023809523809523,0.21322537112010795,0.3333333333333333,1.0569245230918103
